Запись для проверки лог файла[2024-11-28 18:07:38] Пользователь: admin | Действие: Выход из системы | Детали: Пользователь: admin
[2024-11-28 18:07:56] Пользователь: admin | Действие: Вход в систему | Детали: Роль: admin, ID: 2
[2024-11-28 18:36:02] Пользователь: admin | Действие: Выход из системы | Детали: Пользователь: admin
[2024-11-28 18:36:04] Пользователь: Гость | Действие: Попытка входа без пароля. | Детали: Имя пользователя: john
[2024-11-28 18:36:04] Пользователь: Гость | Действие: Ошибка входа | Детали: Попытка входа без пароля.
[2024-11-28 18:36:21] Пользователь: Гость | Действие: Попытка входа без пароля. | Детали: Имя пользователя: john
[2024-11-28 18:36:21] Пользователь: Гость | Действие: Ошибка входа | Детали: Попытка входа без пароля.
[2024-11-28 18:36:31] Пользователь: Гость | Действие: Попытка входа без пароля. | Детали: Имя пользователя: test
[2024-11-28 18:36:31] Пользователь: Гость | Действие: Ошибка входа | Детали: Попытка входа без пароля.
[2024-11-28 18:37:08] Пользователь: admin | Действие: Вход в систему | Детали: Роль: admin, ID: 2
[2024-11-28 18:37:57] Пользователь: admin | Действие: Выход из системы | Детали: Пользователь: admin
[2024-11-28 18:38:42] Пользователь: Гость | Действие: Неудачный вход | Детали: Неправильный пароль для пользователя: admin
[2024-11-28 18:39:13] Пользователь: admin | Действие: Вход в систему | Детали: Роль: admin, ID: 2
[2024-11-28 18:39:45] Пользователь: admin | Действие: Выход из системы | Детали: Пользователь: admin
[2024-11-28 18:40:00] Пользователь: Гость | Действие: Неудачный вход | Детали: Пользователь с именем not existing user не найден.
[2024-11-28 18:40:17] Пользователь: admin | Действие: Вход в систему | Детали: Роль: admin, ID: 2
[2024-11-28 19:11:15] Пользователь: admin | Действие: Выход из системы | Детали: Пользователь: admin
